cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
11388724,"N-[1-Cyclohexyl-2-[[1-[(2S,4R)-2-[[1-(cyclopropylamino)-1,2-dioxohexan-3-yl]carbamoyl]-4-[6-(trifluoromethyl)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]amino]-2-oxoethyl]pyrazine-2-carboxamide",NULL,801.900,C38H50F3N9O7,215.000,1450.000,NULL,57,4,14,16,TYVSFLRNPASLLQ-LBQTZCMUSA-N,"N-[1-cyclohexyl-2-[[1-[(2S,4R)-2-[[1-(cyclopropylamino)-1,2-dioxohexan-3-yl]carbamoyl]-4-[6-(trifluoromethyl)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]amino]-2-oxoethyl]pyrazine-2-carboxamide",NULL,,,NULL,20061026,NULL
11456889,"N-[(1S)-1-Cyclohexyl-2-[[(2S)-1-[(2S,4R)-2-[[(3S)-1-(cyclopropylamino)-1,2-dioxohexan-3-yl]carbamoyl]-4-pyrimidin-4-yloxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]amino]-2-oxoethyl]pyrazine-2-carboxamide",SCHEMBL8298401,733.900,C37H51N9O7,215.000,1320.000,NULL,53,4,11,16,JTLKBSXFIBAXHE-FDAOVENHSA-N,"N-[(1S)-1-cyclohexyl-2-[[(2S)-1-[(2S,4R)-2-[[(3S)-1-(cyclopropylamino)-1,2-dioxohexan-3-yl]carbamoyl]-4-pyrimidin-4-yloxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]amino]-2-oxoethyl]pyrazine-2-carboxamide",NULL,1040,2,NULL,20061026,NULL
11457072,"N-[1-Cyclohexyl-2-[[1-[(2S,4R)-2-[[1-(cyclopropylamino)-1,2-dioxohexan-3-yl]carbamoyl]-4-[2-(trifluoromethyl)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]amino]-2-oxoethyl]pyrazine-2-carboxamide",NULL,801.900,C38H50F3N9O7,215.000,1450.000,NULL,57,4,14,16,BYVPHQDZPTZTAI-RGJCQFFSSA-N,"N-[1-cyclohexyl-2-[[1-[(2S,4R)-2-[[1-(cyclopropylamino)-1,2-dioxohexan-3-yl]carbamoyl]-4-[2-(trifluoromethyl)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]amino]-2-oxoethyl]pyrazine-2-carboxamide",NULL,,,NULL,20061026,NULL
11600014,"Cyclopentyl N-[(2S)-1-[(2R,4R)-2-[[(1R,2S)-1-(2,5-dihydropyrrol-1-ylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-pyridin-4-yloxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,672.800,C32H44N6O8S,185.000,1340.000,NULL,47,3,10,13,FKBZBXUYUDOLLD-WHURGMIFSA-N,"cyclopentyl N-[(2S)-1-[(2R,4R)-2-[[(1R,2S)-1-(2,5-dihydropyrrol-1-ylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-pyridin-4-yloxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,,,NULL,20061026,NULL
11671882,"Cyclopentyl N-[(2S)-1-[(2R,4R)-2-[[(1R,2S)-1-(dimethylsulfamoylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-pyridin-4-yloxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,648.800,C30H44N6O8S,185.000,1240.000,NULL,45,3,10,13,DOMRYCDBUHTSBW-OYZKVVJISA-N,"cyclopentyl N-[(2S)-1-[(2R,4R)-2-[[(1R,2S)-1-(dimethylsulfamoylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-pyridin-4-yloxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,,,NULL,20061026,NULL
15958617,"Tert-butyl N-[(2S)-1-[(2S,4R)-2-[[1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[(2,6-dichloropyridin-4-yl)carbamoyloxy]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate","tert-butyl N-[(1S)-1-[(2S,4R)-2-[[1-(cyclopropylsulfonylcarbamoyl)-2-vinyl-cyclopropyl]carbamoyl]-4-[(2,6-dichloro-4-pyridyl)carbamoyloxy]pyrrolidine-1-carbonyl]-2,2-dimethyl-propyl]carbamate|L-Prolinamide, N-[(1,1-dimethylethoxy)carbonyl]-3-methyl-L-valyl-N-[1-[[(cyclopropylsulfonyl)amino]carbonyl]-2-ethenylcyclopropyl]-4-[[[(2,6-dichloro-4-pyridinyl)amino]carbonyl]oxy]-, (4R)-",745.700,C31H42Cl2N6O9S,211.000,1430.000,NULL,49,4,10,14,XIKGFKGDJCARES-WPZTWGBSSA-N,"tert-butyl N-[(2S)-1-[(2S,4R)-2-[[1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[(2,6-dichloropyridin-4-yl)carbamoyloxy]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,,,NULL,20070308,NULL
15958634,"Methyl 5,6-dichloro-3-[[(3R,5S)-5-[[1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-1-[(2S)-3,3-dimethyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]butanoyl]pyrrolidin-3-yl]oxycarbonylamino]pyrazine-2-carboxylate","methyl 3-[[(3R,5S)-1-[(2S)-2-(tert-butoxycarbonylamino)-3,3-dimethyl-butanoyl]-5-[[1-(cyclopropylsulfonylcarbamoyl)-2-vinyl-cyclopropyl]carbamoyl]pyrrolidin-3-yl]oxycarbonylamino]-5,6-dichloro-pyrazine-2-carboxylate|L-Prolinamide, N-[(1,1-dimethylethoxy)carbonyl]-3-methyl-L-valyl-N-[1-[[(cyclopropylsulfonyl)amino]carbonyl]-2-ethenylcyclopropyl]-4-[[[[5,6-dichloro-3-(methoxycarbonyl)pyrazinyl]amino]carbonyl]oxy]-, (4R)-",804.700,C32H43Cl2N7O11S,250.000,1590.000,NULL,53,4,13,16,OOANMHYDSSAUIO-KXAADVEGSA-N,"methyl 5,6-dichloro-3-[[(3R,5S)-5-[[1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-1-[(2S)-3,3-dimethyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]butanoyl]pyrrolidin-3-yl]oxycarbonylamino]pyrazine-2-carboxylate",NULL,,,NULL,20070308,NULL
15958674,"Tert-butyl N-[(2S)-1-[(2S,4R)-2-[[1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-(pyridin-2-ylcarbamoyloxy)pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate","L-Prolinamide, N-[(1,1-dimethylethoxy)carbonyl]-3-methyl-L-valyl-N-[1-[[(cyclopropylsulfonyl)amino]carbonyl]-2-ethenylcyclopropyl]-4-[[(2-pyridinylamino)carbonyl]oxy]-, (4R)-|tert-butyl N-[(1S)-1-[(2S,4R)-2-[[1-(cyclopropylsulfonylcarbamoyl)-2-vinyl-cyclopropyl]carbamoyl]-4-(2-pyridylcarbamoyloxy)pyrrolidine-1-carbonyl]-2,2-dimethyl-propyl]carbamate",676.800,C31H44N6O9S,211.000,1360.000,NULL,47,4,10,14,ZREHWVFUVRCFNB-GWCOLCAPSA-N,"tert-butyl N-[(2S)-1-[(2S,4R)-2-[[1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-(pyridin-2-ylcarbamoyloxy)pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,,,NULL,20070308,NULL
16035600,"(3R,5S,8S)-8-Tert-butyl-22-chloro-N-[(2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]-7,10-dioxo-2,11-dioxa-6,9,23-triazatetracyclo[15.6.2.13,6.020,24]hexacosa-1(24),17(25),18,20,22-pentaene-5-carboxamide",NULL,730.300,C35H44ClN5O8S,182.000,1450.000,NULL,50,3,9,7,ZVMBNOHCQNQZMZ-QNBXWSABSA-N,"(3R,5S,8S)-8-tert-butyl-22-chloro-N-[(2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]-7,10-dioxo-2,11-dioxa-6,9,23-triazatetracyclo[15.6.2.13,6.020,24]hexacosa-1(24),17(25),18,20,22-pentaene-5-carboxamide",NULL,,,NULL,20070409,NULL
16035705,"(3R,5S,8S)-8-Tert-butyl-N-[(2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]-22-(dimethylamino)-7,10-dioxo-2,11-dioxa-6,9,23-triazatetracyclo[15.6.2.13,6.020,24]hexacosa-1(24),17(25),18,20,22-pentaene-5-carboxamide",NULL,738.900,C37H50N6O8S,185.000,1490.000,NULL,52,3,10,8,DMXFGXAEUKCITQ-SVVBJVLBSA-N,"(3R,5S,8S)-8-tert-butyl-N-[(2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]-22-(dimethylamino)-7,10-dioxo-2,11-dioxa-6,9,23-triazatetracyclo[15.6.2.13,6.020,24]hexacosa-1(24),17(25),18,20,22-pentaene-5-carboxamide",NULL,,,NULL,20070409,NULL
