cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
25242438,"2-Tert-butyl-4-(3-methoxypropylamino)-N-(2-methylpropyl)-N-[(3S,5R)-5-(morpholine-4-carbonyl)piperidin-3-yl]pyrimidine-5-carboxamide","CHEMBL3958809|2-~{tert}-Butyl-4-(3-Methoxypropylamino)-~{n}-(2-Methylpropyl)-~{n}-[(3~{s},5~{r})-5-Morpholin-4-Ylcarbonylpiperidin-3-Yl]pyrimidine-5-Carboxamide|SCHEMBL2894353|ISBMTDVOSWIALV-RTWAWAEBSA-N|BDBM50195782|6VS|2-tert-butyl-4-[(3-methoxypropyl)amino]-N-(2-methylpropyl)-N-[(3S,5R)-5-(morpholin-4-ylcarbonyl)piperidin-3-yl]pyrimidine-5-carboxamide",518.700,C27H46N6O4,109.000,724.000,NULL,37,2,8,11,ISBMTDVOSWIALV-RTWAWAEBSA-N,"2-tert-butyl-4-(3-methoxypropylamino)-N-(2-methylpropyl)-N-[(3S,5R)-5-(morpholine-4-carbonyl)piperidin-3-yl]pyrimidine-5-carboxamide",NULL,230678,8,"1320813,1320814,1320815,1320816,1320817",20090511,10.1021/acsmedchemlett.6b00251
45488202,4-(Cyclohexylmethylamino)-N-(2-methylpropyl)-2-(3-pyrrolidin-1-ylpropylamino)pyrimidine-5-carboxamide,GNF-Pf-450|CHEMBL581273,416.600,C23H40N6O,82.200,490.000,NULL,30,3,6,11,GAWIJUNEVZPVTE-UHFFFAOYSA-N,4-(cyclohexylmethylamino)-N-(2-methylpropyl)-2-(3-pyrrolidin-1-ylpropylamino)pyrimidine-5-carboxamide,NULL,98306,3,"449703,449704,449705,449706,602156",20100603,10.1073/pnas.0802982105|10.1126/science.1211936
45488300,4-(Cyclohexylmethylamino)-N-(2-methylpropyl)-2-[2-(1-methylpyrrolidin-2-yl)ethylamino]pyrimidine-5-carboxamide,GNF-Pf-649|CHEMBL598480,416.600,C23H40N6O,82.200,510.000,NULL,30,3,6,10,MRUAOWJLVZLNFG-UHFFFAOYSA-N,4-(cyclohexylmethylamino)-N-(2-methylpropyl)-2-[2-(1-methylpyrrolidin-2-yl)ethylamino]pyrimidine-5-carboxamide,NULL,98306,3,"449703,449704,449705,449706,602156",20100603,10.1073/pnas.0802982105|10.1126/science.1211936
45488304,4-(Cyclohexylmethylamino)-2-[3-(2-methylpiperidin-1-yl)propylamino]-N-[3-(2-oxopyrrolidin-1-yl)propyl]pyrimidine-5-carboxamide,GNF-Pf-664|CHEMBL606162,513.700,C28H47N7O2,103.000,702.000,NULL,37,3,7,13,FTVAPGDJRUIYIV-UHFFFAOYSA-N,4-(cyclohexylmethylamino)-2-[3-(2-methylpiperidin-1-yl)propylamino]-N-[3-(2-oxopyrrolidin-1-yl)propyl]pyrimidine-5-carboxamide,NULL,98306,3,"449703,449704,449705,449706,602156",20100603,10.1073/pnas.0802982105|10.1126/science.1211936
45488434,4-(Cyclopentylamino)-2-[3-(2-methylpiperidin-1-yl)propylamino]-N-(2-methylpropyl)pyrimidine-5-carboxamide,GNF-Pf-4416|CHEMBL599298,416.600,C23H40N6O,82.200,510.000,NULL,30,3,6,10,JHEBYHBZVSQGLI-UHFFFAOYSA-N,4-(cyclopentylamino)-2-[3-(2-methylpiperidin-1-yl)propylamino]-N-(2-methylpropyl)pyrimidine-5-carboxamide,NULL,98306,3,"449703,449704,449705,449706,602156",20100603,10.1073/pnas.0802982105|10.1126/science.1211936
45488495,4-(Cyclohexylmethylamino)-2-[3-(2-methylpiperidin-1-yl)propylamino]-N-(2-methylpropyl)pyrimidine-5-carboxamide,GNF-Pf-905|CHEMBL585208,444.700,C25H44N6O,82.200,539.000,NULL,32,3,6,11,XZYILENDTWXLGF-UHFFFAOYSA-N,4-(cyclohexylmethylamino)-2-[3-(2-methylpiperidin-1-yl)propylamino]-N-(2-methylpropyl)pyrimidine-5-carboxamide,NULL,98306,3,"449703,449704,449705,449706,602156",20100603,10.1073/pnas.0802982105|10.1126/science.1211936
45489239,2-[3-(2-Methylpiperidin-1-yl)propylamino]-N-(2-methylpropyl)-4-(2-methylpropylamino)pyrimidine-5-carboxamide,GNF-Pf-382|CHEMBL581861,404.600,C22H40N6O,82.200,472.000,NULL,29,3,6,11,QLHBYVOECJKBMB-UHFFFAOYSA-N,2-[3-(2-methylpiperidin-1-yl)propylamino]-N-(2-methylpropyl)-4-(2-methylpropylamino)pyrimidine-5-carboxamide,NULL,98306,3,"449703,449704,449705,449706,602156",20100603,10.1073/pnas.0802982105|10.1126/science.1211936
54585108,"[(1S,3R)-3-[[(3S,4S)-3-Methoxyoxan-4-yl]amino]-1-propan-2-ylcyclopentyl]-[4-[2-(trifluoromethyl)pyrimidin-4-yl]piperazin-1-yl]methanone","CHEMBL1782569|BDBM50346301|cis-((1S,3R)-1-isopropyl-3-((3S,4S)-3-methoxytetrahydro-2H-pyran-4-ylamino)cyclopentyl)(4-(2-(trifluoromethyl)pyrimidin-4-yl)piperazin-1-yl)methanone",499.600,C24H36F3N5O3,79.800,719.000,NULL,35,1,10,6,PQCCUNFEYSQFHJ-KCESLBEFSA-N,"[(1S,3R)-3-[[(3S,4S)-3-methoxyoxan-4-yl]amino]-1-propan-2-ylcyclopentyl]-[4-[2-(trifluoromethyl)pyrimidin-4-yl]piperazin-1-yl]methanone",NULL,98322,4,"600343,600344,600345,600440",20111208,10.1016/j.bmcl.2011.01.034
58355353,"2-Tert-butyl-4-hexyl-N-(2-methylpropyl)-N-[(3S,5R)-5-(morpholine-4-carbonyl)piperidin-3-yl]pyrimidine-5-carboxamide",CHEMBL3889771|SCHEMBL7956023|BDBM50195784,515.700,C29H49N5O3,87.700,719.000,NULL,37,1,6,11,MVIGGJLXXAWWJX-PKTZIBPZSA-N,"2-tert-butyl-4-hexyl-N-(2-methylpropyl)-N-[(3S,5R)-5-(morpholine-4-carbonyl)piperidin-3-yl]pyrimidine-5-carboxamide",NULL,99346,5,"1320813,1320814,1320815,1320816,1320817",20120819,10.1021/acsmedchemlett.6b00251
59625209,"2-Tert-butyl-N-[(3S,5R)-5-carbamoylpiperidin-3-yl]-4-(3-methoxypropylamino)-N-(2-methylpropyl)pyrimidine-5-carboxamide",CHEMBL3916704|SCHEMBL12991824|BDBM50195785,448.600,C23H40N6O3,123.000,609.000,NULL,32,3,7,11,UDGOQNBHRYYFSR-SJORKVTESA-N,"2-tert-butyl-N-[(3S,5R)-5-carbamoylpiperidin-3-yl]-4-(3-methoxypropylamino)-N-(2-methylpropyl)pyrimidine-5-carboxamide",NULL,99346,5,"1320813,1320814",20120820,10.1021/acsmedchemlett.6b00251
