cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
5077,3-[1-(Dimethylamino)ethyl]phenyl ethyl(methyl)carbamate,"105601-20-5|3-[1-(dimethylamino)ethyl]phenyl ethyl(methyl)carbamate|CHEMBL151763|Carbamic acid, ethylmethyl-, 3-[1-(dimethylamino)ethyl]phenyl ester|3-(1-(dimethylamino)ethyl)phenyl ethyl(methyl)carbamate|XSVMFMHYUFZWBK-UHFFFAOYSA-N|AK161672|415973-05-6|ACMC-20m8jm|AC1L1JK6|AC1Q60SQ|SCHEMBL1170429|CTK0G5184|DTXSID70274453|BCP08735|STL450944|BDBM50024866|AKOS027256672|SY031132|SC-19405|MFCD09832922 (95%)|ethylmethylcarbamic acid 3-[1-(dimethylamino)ethyl]phenyl ester|[3-[1-(dimethylamino)ethyl]phenyl] N-ethy",250.340,C14H22N2O2,32.800,269.000,2.300,18,0,3,5,XSVMFMHYUFZWBK-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,NULL,34578,6,"1162589,1162590,1162591,1162593",20050325,10.1016/j.bmc.2014.08.016
44949,"[2-(Diethylaminomethyl)phenyl] N,N-dimethylcarbamate","AC1Q61RE|AC1L2CW1|[2-(diethylaminomethyl)phenyl] N,N-dimethylcarbamate|2-[(diethylamino)methyl]phenyl dimethylcarbamate",250.340,C14H22N2O2,32.800,252.000,2.100,18,0,3,6,QCRYZUAFQRMWQL-UHFFFAOYSA-N,"[2-(diethylaminomethyl)phenyl] N,N-dimethylcarbamate",NULL,,,NULL,20050808,NULL
45985,"Carbamic acid, methyl-, 3-(alpha-trimethylammoniopropyl)phenyl ester, iodide","T-1895|Carbamic acid, methyl-, 3-(alpha-trimethylammoniopropyl)phenyl ester, iodide|Ammonium, ((3-(N-methylcarbamoyloxy)-alpha-ethyl)benzyl)trimethyl-, iodide|Carbamic acid, N-methyl-, 3-(alpha-dimethylaminopropyl)phenyl ester, methiodide|AMMONIUM, ((3-HYDROXY-alpha-ETHYL)BENZYL)TRIMETHYL-, IODIDE, METHYLCARBAMATE|T 1895|AC1L2F2X|LS-18230|63981-66-8|trimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium iodide",378.250,C14H23IN2O2,38.300,274.000,NULL,19,1,3,5,VDLAMFAKUHJWPO-UHFFFAOYSA-N,trimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium;iodide,NULL,8720,3,NULL,20050808,NULL
45986,Trimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium,"AC1L2F30|AC1Q60S9|Trimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium|n,n,n-trimethyl-1-{3-[(methylcarbamoyl)oxy]phenyl}propan-1-aminium",251.340,C14H23N2O2+,38.300,274.000,2.100,18,1,2,5,OBZJLCBLBNCMRD-UHFFFAOYSA-O,trimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium,NULL,,,NULL,20050808,NULL
46002,[2-(Dimethylcarbamoyloxy)phenyl]methyl-diethyl-methylazanium,AC1Q61QT|AC1L2F4C|[2-(dimethylcarbamoyloxy)phenyl]methyl-diethyl-methylazanium|n-{2-[(dimethylcarbamoyl)oxy]benzyl}-n-ethyl-n-methylethanaminium,265.370,C15H25N2O2+,29.500,288.000,2.100,19,0,2,6,CGULCTFHAFDMQT-UHFFFAOYSA-N,[2-(dimethylcarbamoyloxy)phenyl]methyl-diethyl-methylazanium,NULL,,,NULL,20050808,NULL
46005,"Carbamic acid, methyl-, alpha-(trimethylammonio)-m-tolyl ester, iodide","T-1825|Carbamic acid, methyl-, alpha-(trimethylammonio)-m-tolyl ester, iodide|Ammonium, (3-(N-methylcarbamoyloxy)benzyl)trimethyl-, idodide|AMMONIUM, (3-HYDROXYBENZYL)TRIMETHYL-, IODIDE, METHYLCARBAMATE|Carbamic acid, N-methyl-, 3-(dimethylaminomethyl)phenyl ester, methiodide|AC1L2F4L|LS-18186|63981-77-1|trimethyl-[[3-(methylcarbamoyloxy)phenyl]methyl]azanium iodide",350.200,C12H19IN2O2,38.300,236.000,NULL,17,1,3,4,BRKWHALBEYHVGU-UHFFFAOYSA-N,trimethyl-[[3-(methylcarbamoyloxy)phenyl]methyl]azanium;iodide,NULL,8720,3,NULL,20050808,NULL
46006,Trimethyl-[[3-(methylcarbamoyloxy)phenyl]methyl]azanium,"AC1L2F4O|AC1Q60T7|Trimethyl-[[3-(methylcarbamoyloxy)phenyl]methyl]azanium|n,n,n-trimethyl{3-[(methylcarbamoyl)oxy]phenyl}methanaminium",223.290,C12H19N2O2+,38.300,236.000,1.200,16,1,2,4,NPDJLGSBESBPOP-UHFFFAOYSA-O,trimethyl-[[3-(methylcarbamoyloxy)phenyl]methyl]azanium,NULL,,,NULL,20050808,NULL
46092,"Carbamic acid, N-methyl-, m-(alpha-dimethylaminoethyl)phenyl ester, hydrochloride","AR-28|T-1843|Methylcarbamic ester of alpha-3-hydroxyphenylethyldimethylamine hydrochloride|Carbamic acid, N-methyl-, m-(alpha-dimethylaminoethyl)phenyl ester, hydrochloride|Carbamic acid, N-methyl-, 3-(alpha-dimethylaminoethyl)phenyl ester, hydrochloride|AC1L2FBU|LS-50126|63982-32-1|dimethyl-[1-[3-(methylcarbamoyloxy)phenyl]ethyl]azanium chloride",258.740,C12H19ClN2O2,42.800,231.000,NULL,17,2,3,4,SXVZMCIGRIYWTD-UHFFFAOYSA-N,dimethyl-[1-[3-(methylcarbamoyloxy)phenyl]ethyl]azanium;chloride,NULL,8720,3,NULL,20050808,NULL
46093,Miotine,"Miotine|4464-16-8|AC1L2FBX|AC1Q60SR|CHEBI:6943|C11763|[3-[1-(dimethylamino)ethyl]phenyl] N-methylcarbamate|LS-50124|3-[1-(dimethylamino)ethyl]phenyl methylcarbamate|3-(1-(Dimethylamino)ethyl)phenyl methylcarbamate|Miotin|UNII-9Z3ZT09RRU|l-Miotine|d-Miotine|d-Miotin|l-Miotin|9Z3ZT09RRU|SureCN12043569|SCHEMBL12043569|NIOSH/FB9832000|Deethyl rivastigmine, (+/-)-|CHEMBL1181675|NIOSH/FB9833000|BDBM10950|DTXSID10275489|LS-50125|FB98330000|FB98320000|[3-(1-dimethylaminoethyl)phenyl] N-methylcarbamate|3-[1-(dimethy",222.280,C12H18N2O2,41.600,231.000,1.600,16,1,3,4,KQOUPMYYRQWZLI-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-methylcarbamate,NULL,34578,6,493017,20050624,10.1021/jm049782n
46110,"Carbamic acid, methyl-, 3-(1-(dimethylamino)propyl)phenyl ester, hydrochloride","T-1894|CARBAMIC ACID, METHYL-, 3-(1-(DIMETHYLAMINO)PROPYL)PHENYL ESTER, HYDROCHLORIDE|Carbamic acid, N-methyl-, 3-(alpha-dimethylaminopropyl)phenyl ester, hydrochloride|AC1L2FDC|63982-42-3|LS-50140|dimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium chloride",272.770,C13H21ClN2O2,42.800,244.000,NULL,18,2,3,5,SWQYCIRIDSXJCZ-UHFFFAOYSA-N,dimethyl-[1-[3-(methylcarbamoyloxy)phenyl]propyl]azanium;chloride,NULL,8720,3,NULL,20050808,NULL
